"","siteID","Litter","N.x.x","Litter C:N","N.y.x","Resporption","N.x.y","Mineralization","N.y.y"
"1","BART",0.53,19,97.58,19,NA,NA,NA,NA
"2","CLBJ",1.06,22,46.6,22,43.51,6,0.09,10
"3","DELA",1.12,20,43.14,20,53.31,8,0.09,10
"4","HARV",0.71,40,64.47,40,46.08,8,0.27,20
"5","JERC",0.6,20,105.2,20,45.32,4,0.04,7
"6","KONZ",0.92,4,52.25,4,NA,NA,NA,NA
"7","LENO",0.99,20,43.73,20,56.87,8,0.14,20
"8","MLBS",1.3,32,40.98,32,43.56,8,0.54,20
"9","ORNL",0.83,20,61.35,20,61.35,4,0.37,10
"10","SCBI",0.89,12,57.67,12,59.64,2,0.38,10
"11","SJER",1,17,51.88,17,65.7,1,0.18,10
"12","SOAP",0.89,20,51.43,20,27.66,4,0.06,9
"13","STEI",0.84,34,71.15,34,47.16,8,0.48,20
"14","TALL",0.65,19,89.46,19,54.63,4,0.24,9
"15","UKFS",1.14,20,42.29,20,56.32,4,0.12,10
"16","UNDE",0.84,20,62.01,20,63.93,9,0.86,10
"17","WREF",0.48,20,115.61,20,40.74,4,-0.01,8
